id,file,model,scheme,run,alpha,item_idx,gsm8k_index,gold,old_score,new_score,old_parsed_answer,parsed_answer,eos,failure_flagged
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i17,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,17,122,48,0,1,,48,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i20,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,20,10,366,0,1,,366,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i25,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,25,122,48,0,1,,48,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i31,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,31,10,366,0,1,,366,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i35,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,35,195,12,0,1,,12,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i38,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,38,181,160,0,1,,160,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i59,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,59,21,14,0,1,,14,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i61,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,61,30,109,0,1,,109,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i62,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,62,181,160,0,1,,160,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i72,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,72,146,2125,0,1,,2125,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i106,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,106,117,360,0,1,,360,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i108,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,108,103,140,0,1,,140,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i114,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,114,23,8,0,1,,8,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i122,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,122,181,160,0,1,,160,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i123,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,123,55,14,0,1,,14,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i130,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,130,30,109,0,1,,109,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i138,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,138,124,10,0,1,,10,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i142,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,142,67,595,0,1,,595,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i144,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,144,124,10,0,1,,10,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i149,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,149,57,83,0,1,,83,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i152,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,152,146,2125,0,1,,2125,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i170,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,170,122,48,0,1,,48,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i178,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,178,195,12,0,1,,12,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i198,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,198,21,14,0,1,,14,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i2,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,2,36,75,0,1,,75,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i14,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,14,66,48,0,1,,48,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i18,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,18,198,320,0,1,,320,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i20,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,20,10,366,0,1,,366,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i31,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,31,10,366,0,1,,366,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i38,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,38,181,160,0,1,,160,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i48,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,48,42,26,0,1,,26,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i56,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,56,151,5,0,1,,5,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i57,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,57,111,16,0,1,,16,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i58,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,58,27,16,0,1,,16,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i61,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,61,30,109,0,1,,109,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i62,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,62,181,160,0,1,,160,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i83,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,83,151,5,0,1,,5,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i85,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,85,134,720,0,1,,720,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i90,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,90,83,600,0,1,,600,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i92,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,92,190,360,0,1,,360,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i96,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,96,120,240,0,1,,240,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i98,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,98,146,2125,0,1,,2125,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i108,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,108,103,140,0,1,,140,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i112,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,112,151,5,0,1,,5,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i116,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,116,83,600,0,1,,600,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i120,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,120,99,58,0,1,,58,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i122,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,122,181,160,0,1,,160,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i123,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,123,55,14,0,1,,14,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i124,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,124,120,240,0,1,,240,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i130,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,130,30,109,0,1,,109,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i138,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,138,124,10,0,1,,10,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i144,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,144,124,10,0,1,,10,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i149,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,149,57,83,0,1,,83,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i152,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,152,146,2125,0,1,,2125,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i156,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,156,27,16,0,1,,16,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i158,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,158,151,5,0,1,,5,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i160,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,160,36,75,0,1,,75,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i175,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,175,198,320,0,1,,320,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a4.0|i179,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,4.0,179,198,320,0,1,,320,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a6.0|i3,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,6.0,3,60,17,0,1,,17,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a6.0|i5,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,6.0,5,93,36,0,1,,36,1,False
